schemaVersion,recordType,source_name,source_url,title,authors,paper_url,github_url,github_stars,published_date,collectedAt,github_stars_fetched_at,github_evidence_type
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14441,PACE-Bench: Benchmarking Physics Adaptation via Code Evolution in Dynamic Environments,Yuhao Zhan; Bingxiang He; Zecong Tang; Chaojun Xiao,https://arxiv.org/abs/2608.14441,https://github.com/thunlp/PACE-Bench,1,2026-08-14T16:25:43+00:00,2026-08-17T04:34:40.418628+00:00,2026-08-17T04:34:36.070870+00:00,authoritative_paper_page
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14426,The Dynamics of Intelligence Explosions,Toby Ord,https://arxiv.org/abs/2608.14426,,,2026-08-14T16:07:51+00:00,2026-08-17T04:34:40.431709+00:00,,
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14425,Knowing When to Stop: Bayesian Optimal Stopping for LLM Evaluations,Toby D. Pilditch,https://arxiv.org/abs/2608.14425,,,2026-08-14T16:06:41+00:00,2026-08-17T04:34:40.447065+00:00,,
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14407,The Past and Future of AI Scientists,Ross D. King,https://arxiv.org/abs/2608.14407,,,2026-08-14T15:50:35+00:00,2026-08-17T04:34:40.458283+00:00,,
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14405,From Style Replication to Style Exploration: Enabling Art Style Exploration with Analyze-Experiment-Resituate Framework,Wen-Fan Wang; TsaiHsuan Lin; Chi-Lan Yang; An-Ru Cheng; Bing-Yu Chen,https://arxiv.org/abs/2608.14405,,,2026-08-14T15:46:23+00:00,2026-08-17T04:34:40.472016+00:00,,
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14399,Whose doctor does the AI recommend? An algorithm audit of reputation and demographic signals in large language model-assisted physician choice,Syeda Anshrah Gillani; Mirza Samad Ahmed Baig,https://arxiv.org/abs/2608.14399,,,2026-08-14T15:39:10+00:00,2026-08-17T04:34:40.486172+00:00,,
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14397,LLMs Don't Pay for the Jump,Paras Balani; Subhrakanta Panda,https://arxiv.org/abs/2608.14397,,,2026-08-14T15:36:35+00:00,2026-08-17T04:34:40.498965+00:00,,
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14396,AI-Assisted Discovery and Construction of a Counterexample to the Convergence of Three-Block ADMM with the Identity Matrix as its Third Constraint Block,Kenan Xu; Xiangfeng Wang,https://arxiv.org/abs/2608.14396,,,2026-08-14T15:36:32+00:00,2026-08-17T04:34:40.514404+00:00,,
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14392,Tripwire: Triggering Aligned Refusal via Statistically Certified Safety Neurons,Wei Zhao; Zhe Li; Peixin Zhang; Jun Sun,https://arxiv.org/abs/2608.14392,,,2026-08-14T15:33:11+00:00,2026-08-17T04:34:40.529305+00:00,,
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14391,"Can We Defend Against AI-Generated Video Attacks on Real-World Crisis Events? A Systematic Evaluation of Detectors, Generators and Social Dissemination",Shuo Liang; Yixing Ma; Pengfei Zhou; Xingyan Chen; Zihan Mei; Manting Li; Feihan Chen; Zhiwen Wang; Bin Xu; Haotian Zhang; Jiajun Song; Shiya Su; Run Liu; Zhenghang Ni; Yifa Yu; Jintao Hong; Bolong Feng; Yifei Liu; Zirui Zhang; Jingxuan Zhang; Songlin Zhao; Yifan Bai; Kang Tan; Yizhe Liu; Junhao Du; Yongtao Ge; Zhaopan Xv; Xinyuan Zhang; Mengru Ma; Chunhua Shen; Wei Wang; Yang You; Zheng Zhu; Kaipeng Zhang; Wangbo Zhao,https://arxiv.org/abs/2608.14391,,,2026-08-14T15:32:56+00:00,2026-08-17T04:34:40.543144+00:00,,
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14389,GBU-Palm: A Multimodal Video Dataset and Benchmark for Palm Presentation Attack Detection,Yingjie Ma; Zitong Yu; Wei Jia; Ajay Kumar; Linlin Shen,https://arxiv.org/abs/2608.14389,,,2026-08-14T15:31:48+00:00,2026-08-17T04:34:40.555783+00:00,,
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14385,DeaMoE: Efficient MoE Structure for Fast Small-Batch Decoding,Zewen Jin; Shen Fu; Zeping Duan; Shannon Wang; Weihao Wu; Chengjie Tang; Congkun Ai; Ping Gong; Zijian Dai; Youhui Bai; Cheng Li,https://arxiv.org/abs/2608.14385,,,2026-08-14T15:25:32+00:00,2026-08-17T04:34:40.570793+00:00,,
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14380,AgentRewind: Recoverable Execution for Long-Horizon LLM Agents,Yu Zhuang; Kefei Chen; Yitong Duan; Shuxin Zheng; Jian Li; Xu-Yao Zhang,https://arxiv.org/abs/2608.14380,,,2026-08-14T15:20:35+00:00,2026-08-17T04:34:40.582413+00:00,,
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14379,Reflex: Enabling Fast and Predictive Vision-Language-Action Models for Reaction-Critical Manipulation,Yuxuan Chen; Wanruo Zhang; Xiao Li,https://arxiv.org/abs/2608.14379,,,2026-08-14T15:19:04+00:00,2026-08-17T04:34:40.596282+00:00,,
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14375,Wrong but Useful: Trajectory Value Beyond Answer Correctness in Multi-Agent Messages,Chih-Hsuan Yang; Anjir Ahmed Chowdhury; Cheng-Hau Yang; Weijian Zheng; Fernando Llorente; Xiaolong Ma; Xinyang Li; Eliu A. Huerta; Ian T. Foster; Rajeev Thakur,https://arxiv.org/abs/2608.14375,,,2026-08-14T15:16:57+00:00,2026-08-17T04:34:40.611450+00:00,,
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14370,A Hybrid LLM-Based Framework for Automated Security Annotation Generation in Business Process Models,Md Kamrul Islam; Tiphaine Henry; Mattia Salnitri; Julius Köpke; Sami Souihi,https://arxiv.org/abs/2608.14370,,,2026-08-14T15:11:10+00:00,2026-08-17T04:34:40.627434+00:00,,
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14367,Mind the Long Tail: Understanding the Difficulty of Delay Detection in Business Processes,Keyvan Amiri Elyasi; Lukas Kirchdorfer; Heiner Stuckenschmidt,https://arxiv.org/abs/2608.14367,,,2026-08-14T15:08:14+00:00,2026-08-17T04:34:40.640832+00:00,,
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14359,Designing Sustainable Federated Learning as a Service using Neural Architecture Search,Keya Patel; Sajib Mistry; Sheik Fattah; Deepak Kanneganti; Aneesh Krishna; Mufti Mahmud; Monowar Bhuyan,https://arxiv.org/abs/2608.14359,,,2026-08-14T15:00:39+00:00,2026-08-17T04:34:40.652542+00:00,,
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14355,Disentangled Shared Representations Improve Morpho-Transcriptomic Integration,Julian Ostermaier; Swann Ruyter; Reuben Dorent; Daniel Racoceanu,https://arxiv.org/abs/2608.14355,,,2026-08-14T14:56:31+00:00,2026-08-17T04:34:40.666751+00:00,,
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14354,"ScienceFlow: A long-horizon agent for ML research, scientific discovery and beyond",Mingming Zhao; Jiqian Dong; Kangping Xu; Zadid Hasan; Chengrui Fan; Shan Jiang; Shuai Mao; Ting Lingya; Linyi Zou; Tailin Zhou; Yun Hin Chan; Wenkai Zhang; Zhanhong Zhou; Guowei Huang; Hongliang Li; Wenjing Cun; Zhitang Chen; Mingxuan Yuan; Yanhui Geng,https://arxiv.org/abs/2608.14354,,,2026-08-14T14:54:01+00:00,2026-08-17T04:34:40.679502+00:00,,
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14339,Clearing the Fog: Towards Installing and Refining Proactive Exploration Capabilities in LLM Agents,Zhizhao Guan; Chen Huang; Ziming Liu; Hongru Liang; Wenqiang Lei; See-Kiong Ng; Tat-Seng Chua; Anthony G Cohn,https://arxiv.org/abs/2608.14339,https://github.com/GuanZhizhao/SAFARI,0,2026-08-14T14:24:50+00:00,2026-08-17T04:34:40.696128+00:00,2026-08-17T04:34:36.873100+00:00,authoritative_paper_page
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14330,Program-space Diffusion for Morphology-to-Transcriptomics Prediction,Ruyter Swann; Dorent Reuben; Racoceanu Daniel,https://arxiv.org/abs/2608.14330,,,2026-08-14T14:20:40+00:00,2026-08-17T04:34:40.706630+00:00,,
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14329,A Four-Axis Trustworthiness Benchmark for LLM-as-Judge in Principle-Based Regulation,Dipankar Sarkar,https://arxiv.org/abs/2608.14329,,,2026-08-14T14:20:38+00:00,2026-08-17T04:34:40.719743+00:00,,
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14320,AnchorBench: A Multi-Pathway Benchmark for the Anchoring Effect in LLMs,Yiderigun Borjigin; Alexander Hermann; Christian Cyron; Roland Aydin,https://arxiv.org/abs/2608.14320,,,2026-08-14T14:04:42+00:00,2026-08-17T04:34:40.731658+00:00,,
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14317,"Intelligent Detection of Mechanical, Electrical, and Plumbing (MEP) Metrics Based on 2D Floor Plans",Tarandeep Singh Mandhiratta; ANK Zaman; Abdul-Rahman Mawlood-Yunis,https://arxiv.org/abs/2608.14317,,,2026-08-14T13:59:55+00:00,2026-08-17T04:34:40.745197+00:00,,
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14306,Sensor-Driven Mission Synthesis for UAV/UGV Swarms: A TB-CSPN Coordination Architecture with Hardware-Enforced Safety,Uwe M. Borghoff; Paolo Bottoni; Remo Pareschi,https://arxiv.org/abs/2608.14306,,,2026-08-14T13:44:10+00:00,2026-08-17T04:34:40.759850+00:00,,
1.0,RESEARCH_PAPER,arxiv,https://arxiv.org/abs/2608.14290,Intern-S2-Mobius: Foundation Model with Decoupled Knowledge and Reasoning,Kai Chen; Jifeng Ding; Ning Ding; Jiaye Ge; Lixin Gu; Yicheng Gu; Qipeng Guo; Ermo Hua; Haian Huang; Haozheng Hou; Jie Hou; Xiangyu Hong; Che Jiang; Minxi Jin; Cheng Liang; Dahua Lin; Dawei Liu; Kuikun Liu; Chengqi Lv; Haijun Lv; Han Lv; Ningsheng Ma; Biqing Qi; Jianmin Qian; Shiya Su; Youbang Sun; Huanze Tang; Zhongbo Tian; Hanjing Wang; Rui Wang; Ting Wang; Yi Wang; Baiting Wu; Jun Xu; Bowen Yang; Hui Wang; Weida Wang; Haochen Ye; Jiashuo Yu; Shan Yu; Xiaoyi Yu; Qirui Zeng; Qi Zhang; Ming Zhang; Wenwei Zhang; Bowen Zhou; Xinyu Zhou,https://arxiv.org/abs/2608.14290,,,2026-08-14T13:21:49+00:00,2026-08-17T04:34:40.777202+00:00,,
